##################################
Log file for EIT with ScouseTom system
Date and time this file was created : 29-Apr-2016 16:37:17
Description of this ExpSetup file : Nir Drift Experiment, Anya/Anka
ExpSetup created : 19-Aug-2015 10:30:51
The EEG system file stored was : C:\EIT-DATA\Nir - Cardiff Phant third go 290416\CardiffPhant_NoJ_REC_290416.bdf
The PC name was : PC-
The Username was : Administrator
--------------
System in "SingleFreqMode" - single amp and freq, running continuously
Amplitude: 100 uA
Frequency: 2000 Hz
Protocol loaded was Spiral16_ScousTom.txt with 34 lines 
Sources	Sinks
6	1
7	2
11	6
11	7
10	6
7	3
7	1
6	2
14	1
10	5
14	2
5	1
8	3
8	2
8	4
9	4
9	5
10	4
14	10
14	11
9	3
8	5
15	3
16	4
12	9
15	11
16	12
15	12
16	13
15	13
12	7
13	1
13	10
16	6
--------------
Number of repeats : 7000 
Injection time per protocol line : 100 ms or 0.10 s
Estimated time to complete measurements : 6.61 hours 
--------------
##################################
Codes for info from arduino: 
R	Current Repeat
P	Current Protocol Line
O	frequency order (multifreqmode)
D	phases (stim mode)
Codes for commmands sent to arduino: 
S	Start
H	Stop
I	Initialise
##
Time	Arduino Message	PC Message
26.53s		Starting Injection
26.53s	S	
26.75s	+OK	
26.75s		Comm ok, everything ready to go
26.75s	+OK	
26.75s		EIT STARTING
26.88s	R1	
30.11s	R2	
30.14s	C1,0,0,0,0,0,0,0	
33.53s	R3	
36.91s	R4	
40.30s	R5	
43.71s	R6	
47.10s	R7	
50.51s	R8	
53.91s	R9	
57.32s	R10	
60.71s	R11	
64.12s	R12	
67.51s	R13	
70.92s	R14	
74.31s	R15	
77.72s	R16	
81.11s	R17	
84.52s	R18	
87.91s	R19	
91.31s	R20	
94.72s	R21	
98.13s	R22	
101.52s	R23	
104.91s	R24	
108.32s	R25	
111.71s	R26	
115.12s	R27	
118.53s	R28	
121.92s	R29	
125.33s	R30	
128.72s	R31	
132.12s	R32	
135.52s	R33	
138.92s	R34	
142.33s	R35	
145.72s	R36	
149.13s	R37	
152.52s	R38	
155.93s	R39	
159.32s	R40	
162.71s	R41	
166.12s	R42	
169.53s	R43	
172.92s	R44	
176.33s	R45	
179.72s	R46	
183.13s	R47	
186.52s	R48	
189.93s	R49	
193.33s	R50	
196.72s	R51	
200.13s	R52	
203.52s	R53	
206.92s	R54	
210.33s	R55	
213.72s	R56	
217.13s	R57	
220.52s	R58	
223.93s	R59	
227.32s	R60	
230.73s	R61	
234.12s	R62	
237.53s	R63	
240.92s	R64	
244.34s	R65	
247.73s	R66	
251.14s	R67	
254.53s	R68	
257.94s	R69	
261.33s	R70	
264.74s	R71	
268.13s	R72	
271.54s	R73	
274.93s	R74	
278.34s	R75	
281.73s	R76	
285.14s	R77	
288.53s	R78	
291.92s	R79	
295.33s	R80	
298.72s	R81	
302.13s	R82	
305.52s	R83	
308.93s	R84	
312.34s	R85	
315.74s	R86	
319.13s	R87	
322.54s	R88	
325.93s	R89	
329.34s	R90	
332.74s	R91	
336.14s	R92	
339.53s	R93	
342.94s	R94	
346.33s	R95	
349.74s	R96	
353.13s	R97	
356.54s	R98	
359.95s	R99	
363.34s	R100	
366.73s	R101	
370.14s	R102	
373.53s	R103	
376.94s	R104	
380.33s	R105	
383.74s	R106	
387.15s	R107	
390.54s	R108	
393.95s	R109	
397.34s	R110	
400.75s	R111	
404.14s	R112	
407.55s	R113	
410.94s	R114	
414.35s	R115	
417.74s	R116	
421.15s	R117	
424.54s	R118	
427.93s	R119	
431.34s	R120	
434.75s	R121	
438.15s	R122	
441.56s	R123	
444.95s	R124	
448.36s	R125	
451.75s	R126	
455.16s	R127	
458.55s	R128	
461.96s	R129	
465.35s	R130	
468.76s	R131	
472.15s	R132	
475.54s	R133	
478.95s	R134	
482.34s	R135	
485.75s	R136	
489.14s	R137	
492.56s	R138	
495.94s	R139	
499.35s	R140	
502.75s	R141	
506.14s	R142	
509.55s	R143	
512.94s	R144	
516.36s	R145	
519.75s	R146	
523.16s	R147	
526.56s	R148	
529.96s	R149	
533.35s	R150	
536.76s	R151	
540.15s	R152	
543.56s	R153	
546.95s	R154	
550.36s	R155	
553.75s	R156	
557.16s	R157	
560.55s	R158	
563.97s	R159	
567.36s	R160	
570.75s	R161	
574.16s	R162	
577.57s	R163	
580.96s	R164	
584.37s	R165	
587.76s	R166	
591.17s	R167	
594.56s	R168	
597.95s	R169	
601.36s	R170	
604.77s	R171	
608.16s	R172	
611.57s	R173	
614.96s	R174	
618.37s	R175	
621.76s	R176	
625.17s	R177	
628.56s	R178	
631.97s	R179	
635.36s	R180	
638.77s	R181	
642.16s	R182	
645.56s	R183	
648.97s	R184	
652.38s	R185	
655.77s	R186	
659.16s	R187	
662.57s	R188	
665.96s	R189	
669.37s	R190	
672.78s	R191	
676.17s	R192	
679.57s	R193	
682.96s	R194	
686.37s	R195	
689.76s	R196	
693.17s	R197	
696.58s	R198	
699.96s	R199	
703.37s	R200	
706.76s	R201	
710.18s	R202	
713.57s	R203	
716.98s	R204	
720.37s	R205	
723.78s	R206	
727.17s	R207	
730.56s	R208	
733.97s	R209	
737.36s	R210	
740.77s	R211	
744.18s	R212	
747.58s	R213	
750.97s	R214	
754.38s	R215	
757.77s	R216	
761.18s	R217	
764.57s	R218	
767.98s	R219	
771.37s	R220	
774.78s	R221	
778.17s	R222	
781.59s	R223	
784.98s	R224	
788.37s	R225	
791.78s	R226	
795.19s	R227	
798.58s	R228	
801.97s	R229	
805.38s	R230	
808.77s	R231	
812.18s	R232	
815.57s	R233	
818.98s	R234	
822.38s	R235	
