##################################
#ScouseTom Pulse Voltage Settings
#Date and time this file was created : 20-Mar-2015 10:59:55
#The PC name was : JIMBLES-PC
#The Username was : Jimbles
#WiperSetting	StimVoltage
215	10.90
216	10.67
217	10.43
218	10.20
219	9.97
220	9.73
221	9.50
222	9.27
223	9.03
224	8.88
225	8.64
226	8.41
227	8.17
228	7.94
229	7.71
230	7.47
231	7.24
232	7.01
233	6.78
234	6.54
235	6.31
236	6.08
237	5.84
238	5.61
239	5.38
240	5.22
241	4.99
242	4.76
243	4.52
244	4.29
245	4.06
246	3.83
247	3.59
248	2.59
