##################################
#ScouseTom Pulse Voltage Settings
#Date and time this file was created : 09-Jan-2018 11:56:26
#The PC name was : EIT-DATA-LAPPY
#The Username was : eit-data
#WiperSetting	StimVoltage
210	10.25
211	10.24
212	10.24
213	10.24
214	10.23
215	10.23
216	10.08
217	9.85
218	9.63
219	9.41
220	9.19
221	8.97
222	8.75
223	8.53
224	8.39
225	8.17
226	7.95
227	7.74
228	7.52
229	7.30
230	7.09
231	6.87
232	6.65
233	6.44
234	6.22
235	6.01
236	5.79
237	5.57
238	5.36
239	5.14
240	5.00
241	4.78
242	4.57
243	4.35
244	4.14
245	3.92
246	3.71
247	3.50
248	3.29
249	3.08
250	2.86
