"Part";"Value";"Device";"Package";"Description";"";
"JP1";"GNDHDR";"PINHD-1X1";"1X01";"PIN HEADER";"";
"R1";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R2";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R3";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R4";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R5";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R6";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R7";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R8";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R9";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R10";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R11";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R12";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R13";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R14";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R15";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R16";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R17";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R18";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R19";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R20";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R21";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R22";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R23";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R24";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R25";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R26";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R27";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R28";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R29";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R30";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R31";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R32";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R33";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R34";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R35";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R36";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R37";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R38";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R39";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R40";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R41";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R42";"3k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R43";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R44";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R45";"500";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
