x	V(n001)	I(R1)	I(R2)
1.000000000000000e+003	9.990010e-002	9.990010e-008	9.990010e-005
1.500000000000000e+003	1.497753e-001	1.497753e-007	9.985022e-005
2.000000000000000e+003	1.996008e-001	1.996008e-007	9.980040e-005
2.500000000000000e+003	2.493766e-001	2.493766e-007	9.975062e-005
3.000000000000000e+003	2.991027e-001	2.991027e-007	9.970090e-005
3.500000000000000e+003	3.487793e-001	3.487793e-007	9.965122e-005
4.000000000000000e+003	3.984064e-001	3.984064e-007	9.960160e-005
4.500000000000000e+003	4.479841e-001	4.479841e-007	9.955202e-005
5.000000000000000e+003	4.975124e-001	4.975124e-007	9.950249e-005
5.500000000000000e+003	5.469915e-001	5.469915e-007	9.945301e-005
6.000000000000000e+003	5.964215e-001	5.964214e-007	9.940358e-005
6.500000000000000e+003	6.458023e-001	6.458023e-007	9.935420e-005
7.000000000000000e+003	6.951340e-001	6.951341e-007	9.930487e-005
7.500000000000000e+003	7.444169e-001	7.444169e-007	9.925558e-005
8.000000000000000e+003	7.936508e-001	7.936508e-007	9.920635e-005
8.500000000000000e+003	8.428359e-001	8.428359e-007	9.915717e-005
9.000000000000000e+003	8.919722e-001	8.919723e-007	9.910803e-005
9.500000000000000e+003	9.410599e-001	9.410599e-007	9.905894e-005
1.000000000000000e+004	9.900990e-001	9.900990e-007	9.900990e-005
