"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";
"C1";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C2";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C3";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C4";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C5";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C6";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C7";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C8";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C9";"2.2uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C10";"100uF";"CPOL-EUCT6032";"CT6032";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C11";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C12";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C13";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C14";"0.01uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C15";"100uF";"CPOL-EUCT6032";"CT6032";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C16";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C17";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C18";".1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C19";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C20";".1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C21";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C22";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C23";"0.1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C24";".1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C25";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C26";".1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C27";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"JP1";"IN";"M02PTH";"1X02";"Header 2";"";"";"";"";"";"";"";
"JP2";"LiPoIN";"M02PTH";"1X02";"Header 2";"";"";"";"";"";"";"";
"JP3";"LiPo";"M02-JST-2MM-SMT";"JST-2-SMD";"Header 2";"";"";"";"";"";"";"";
"JP4";"PWR";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";
"JP5";"Shld";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";
"JP6";"Shld";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";
"JP8";"CS_IN+";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";
"JP9";"CS_IN-";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";
"L1";"6.8uH";"WE-PD-7447779006_7332/7345_PLASTIC_BASE";"WE-PD_7332/7345_PLASTIC_BASE";"SMD-Shielded Power Inductors WE-PD";"";"7447779006";"1635987";"08P2857";"7345";"";"Wuerth Elektronik";
"LED1";"YELLOW";"LEDSML0805";"SML0805";"LED";"";"";"";"";"";"";"";
"LED2";"GREEN";"LEDSML0805";"SML0805";"LED";"";"";"";"";"";"";"";
"LED3";"GREEN";"LEDSML0805";"SML0805";"LED";"";"";"";"";"";"";"";
"LED4";"RED";"LEDSML0805";"SML0805";"LED";"";"";"";"";"";"";"";
"R1";"470";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R2";"1k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R3";"2k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R4";"2M";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R5";"360k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R6";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R7";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R8";"1.8M";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R9";"82k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R10";"200k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R11";"1k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R12";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R13";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R14";"4.7k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R15";"47k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R16";"1k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R17";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R18";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R19";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R20";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R21";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R22";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R23";"10M";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"R24";"10M";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"T1";"PNP";"BC807-40-PNP-SOT23-BEC";"SOT23-BEC";"PNP Transistror";"";"";"";"";"";"";"";
"U$1";"PINHD-3X7GAP";"PINHD-3X7GAP";"3X07";"";"";"";"";"";"";"";"";
"U1";"MCP73831";"MCP73831";"SOT23-5";"Miniature single cell, fully integrated Li-Ion, Li-polymer charge management controller";"";"";"";"";"";"IC-09995";"";
"U2";"ADG714BRUZ";"ADG714BRUZ";"SOP65P640X120-24N";"CMOS, Low Voltage Serially Controlled, Octal SPST Switches";"";"ADG714BRUZ";"9604367";"59K1531";"TSSOP-24";"";"Analog Devices";
"U3";"ADG714BRUZ";"ADG714BRUZ";"SOP65P640X120-24N";"CMOS, Low Voltage Serially Controlled, Octal SPST Switches";"";"ADG714BRUZ";"9604367";"59K1531";"TSSOP-24";"";"Analog Devices";
"U4";"TPS61090RSAR";"VREG_TPS6103XSPARKFUNVERSION";"QFN16-4X4";"TPS6103x 4A Boost - 1.8-5.5V Input, Adjustable Output to 5.5V";"";"";"";"";"";"";"";
"U5";"ADG714BRUZ";"ADG714BRUZ";"SOP65P640X120-24N";"CMOS, Low Voltage Serially Controlled, Octal SPST Switches";"";"ADG714BRUZ";"9604367";"59K1531";"TSSOP-24";"";"Analog Devices";
"U6";"ADG714BRUZ";"ADG714BRUZ";"SOP65P640X120-24N";"CMOS, Low Voltage Serially Controlled, Octal SPST Switches";"";"ADG714BRUZ";"9604367";"59K1531";"TSSOP-24";"";"Analog Devices";
"U7";"ADG714BRUZ";"ADG714BRUZ";"SOP65P640X120-24N";"CMOS, Low Voltage Serially Controlled, Octal SPST Switches";"";"ADG714BRUZ";"9604367";"59K1531";"TSSOP-24";"";"Analog Devices";
"U8";"LT1763CDE-5";"LT1763CDE-5";"DFN12";"500mA, Low Noise, LDO Micropower Regulators";"";"LT1763CDE-5";"1556468";"57M6035";"";"";"";
"U9";"ADG714BRUZ";"ADG714BRUZ";"SOP65P640X120-24N";"CMOS, Low Voltage Serially Controlled, Octal SPST Switches";"";"ADG714BRUZ";"9604367";"59K1531";"TSSOP-24";"";"Analog Devices";
"U10";"ADG714BRUZ";"ADG714BRUZ";"SOP65P640X120-24N";"CMOS, Low Voltage Serially Controlled, Octal SPST Switches";"";"ADG714BRUZ";"9604367";"59K1531";"TSSOP-24";"";"Analog Devices";
"U11";"ADG714BRUZ";"ADG714BRUZ";"SOP65P640X120-24N";"CMOS, Low Voltage Serially Controlled, Octal SPST Switches";"";"ADG714BRUZ";"9604367";"59K1531";"TSSOP-24";"";"Analog Devices";
"U12";"ADUM1410ARWZ";"ADUM1410ARWZ";"SOIC127P1032X265-16N";"ISOLATOR, DGTL, 4CHAN";"";"ADUM1410ARWZ";"2067770";"73T8174";"16-Lead SOIC_W";"";"Analog Devices";
"U13";"ADG714BRUZ";"ADG714BRUZ";"SOP65P640X120-24N";"CMOS, Low Voltage Serially Controlled, Octal SPST Switches";"";"ADG714BRUZ";"9604367";"59K1531";"TSSOP-24";"";"Analog Devices";
"U14";"ADG714BRUZ";"ADG714BRUZ";"SOP65P640X120-24N";"CMOS, Low Voltage Serially Controlled, Octal SPST Switches";"";"ADG714BRUZ";"9604367";"59K1531";"TSSOP-24";"";"Analog Devices";
"U15";"ADUM1412ARWZ";"ADUM1412ARWZ";"SOIC127P1032X265-16N";"IC, DIG ISOLATOR";"";"ADUM1412ARWZ";"2377152";"";"16-Lead SOIC_W";"";"Analog Devices";
"X1";"";"47346-0001";"MOLEX_47346-0001";"CONN RCPT 5POS MICRO USB R/A  SMD";"";"47346-0001";"1568026";"47M0505";"5 POS MICRO USB R/A";"";"MOLEX";
